"Data Source","World Development Indicators",

"Last Updated Date","2020-04-09",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.5240001678467","11.4250001907349","10.9409999847412","10.4259996414185","11.1020002365112","10.8109998703003","10.5329999923706","10.2749996185303","9.98099994659424","9.61999988555908","9.21599960327148","10.2519998550415","10.6230001449585","10.8870000839233","11.5349998474121","11.8819999694824","12.2250003814697","12.3990001678467","13.2550001144409","14.0640001296997","14.0699996948242","14.9060001373291","15.3369998931885","15.6770000457764","15.9589996337891","15.9949998855591","16.4419994354248","16.4209995269775","16.4519996643066",
"Angola","AGO","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.4919996261597","15.3610000610352","14.9479999542236","14.8699998855591","15.1510000228882","15.4359998703003","15.6639995574951","15.9130001068115","15.5769996643066","15.5349998474121","15.6149997711182","16.1770000457764","16.0410003662109","16.3169994354248","16.0200004577637","15.6520004272461","15.3730001449585","14.7309999465942","14.2950000762939","14.2740001678467","14.7220001220703","15.4259996414185","15.7480001449585","16.0270004272461","16.0300006866455","15.8620004653931","15.5979995727539","15.3129997253418","15.2019996643066",
"Albania","ALB","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.7630004882813","16.7770004272461","17.0820007324219","17.3449993133545","17.6469993591309","16.8080005645752","16.806999206543","16.6219997406006","17.0270004272461","17.8400001525879","18.8579998016357","19.9309997558594","20.3439998626709","20.8369998931885","21.4020004272461","22.3570003509521","23.2329998016357","24.2819995880127","26.5599994659424","27.6679992675781","24.3129997253418","22.4270000457764","21.7819995880127","21.7290000915527","21.9699993133545","22.257999420166","22.4069995880127","22.6840000152588","22.8990001678467",
"Andorra","AND","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.9266260464565","22.8927582703874","22.9854495120688","23.0999807676418","23.1678294822139","23.3211291435004","23.3139705026494","23.383238927608","23.3821057991166","22.964298082307","22.9530318494192","22.6438828100852","22.709852054388","23.1920851198225","24.1464232304733","24.8842457208928","25.7703551383182","26.5140505006474","27.2926854130407","28.2401919248792","27.8685192580025","28.2760116372542","28.2123067526547","28.066073866455","28.0782349293191","28.323031237265","28.3254578731104","28.3227825265288","28.3193946081474",
"United Arab Emirates","ARE","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.6419982910156","35.8079986572266","36.0839996337891","36.0800018310547","36.2309989929199","36.1279983520508","36.3240013122559","36.4819984436035","36.1469993591309","36.056999206543","36.5089988708496","36.7369995117188","37.398998260498","37.7620010375977","38.1380004882813","39.0029983520508","39.814998626709","40.4599990844727","41.1749992370605","40.8720016479492","40.484001159668","40.314998626709","40.3959999084473","40.5820007324219","41.125","40.9160003662109","40.3629989624023","40.451000213623","40.242000579834",
"Argentina","ARG","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.4099998474121","41.2519989013672","38.5470008850098","37.9819984436035","34.9080009460449","33.4640007019043","35.0330009460449","34.9210014343262","32.8050003051758","31.5839996337891","30.4060001373291","27.9990005493164","29.0599994659424","30.9449996948242","31.9599990844727","32.6990013122559","33.189998626709","33.4609985351563","32.6759986877441","32.8849983215332","33.6080017089844","33.4259986877441","34.265998840332","35","34.1650009155273","32.8950004577637","31.9780006408691","31.3059997558594","30.6809997558594",
"Armenia","ARM","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.2140007019043","22.3659992218018","21.7980003356934","22.1149997711182","22.1319999694824","22.0209999084473","21.9939994812012","22.1949996948242","22.2409992218018","22.7110004425049","23.1490001678467","24.0979995727539","25.1070003509521","25.6790008544922","26.82200050354","28.1149997711182","28.6149997711182","28.4069995880127","26.9680004119873","26.7049999237061","25.6060009002686","26.5790004730225","26.0009994506836","24.1119995117188","23.1399993896484","22.5919990539551","23.5440006256104","23.8250007629395","24.1630001068115",
"American Samoa","ASM","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.9939994812012","31.8199996948242","32","31.8959999084473","31.3040008544922","30.867000579834","30.4979991912842","30.2399997711182","29.8279991149902","30.4650001525879","29.5919990539551","29.9160003662109","29.951000213623","30.6770000457764","30.6469993591309","31.1240005493164","31.1030006408691","31.6560001373291","31.2700004577637","31.0960006713867","30.9699993133545","30.9640007019043","30.6340007781982","30.5289993286133","29.3439998626709","29.1679992675781","29.6040000915527","30.0860004425049","29.9899997711182",
"Austria","AUT","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.7190017700195","44.4990005493164","43.9939994812012","43.8940010070801","43.1269989013672","41.5050010681152","41.1199989318848","41.3650016784668","41.8800010681152","42.2669982910156","41.4459991455078","41.5670013427734","41.6660003662109","37.7700004577637","39.6539993286133","40.359001159668","39.1959991455078","37.9469985961914","36.5880012512207","36.4630012512207","37.7430000305176","37.7680015563965","37.1650009155273","37.2480010986328","37.7890014648438","37.5789985656738","36.8380012512207","37.2449989318848","37.0099983215332",
